consecutive,name,description,len,cat,kind,frecuency,met_validation,met_hours_man,qua_hours_man,cap_area,cap_qua,cap_total,comments,more_info,curriculum,file_doc,version,is_qua,initial_dates,original_author,final_dates,final_author,active,next_backtest_year,next_backtest_month,risk_model_id,area_model_id
1,Simulación efecto cambios ICV de un portafolio en gasto de PE y AK,El modelo permite analizar los cambios en la asignación y pérdida esperada (PE) cuando cambia de forma exógnena el indicador de cartera vencida (ICV) para los segmentos personal  y personal plus del banco (incluye SUFI).,Bancolombia,,,6,Por definir,4,4,8,8,16,,,TRUE,01 ICV - Cosechas - PE- Comité técnico.pptx,1,FALSE,Diciembre de 2012,"Gerencia de Cuantificación del Riesgo, Laura Carolina Cardona Mesa",Diciembre de 2012,"Gerencia de Cuantificación del Riesgo, Laura Carolina Cardona Mesa",FALSE,2013,6,1,1
2,Proyecccion de pérdida final por cosechas cartera libre inversión,"Modelo con el cual se estima la pérdida final por cosechas para el producto libre inversión. A partir de la proyección del indicador de calidad en la altura de vida 5, se encuentra la pérdida en la altura de vida 60 (pérdida final) y se analizan los resultados en un mapa de cosechas características (promedio, percentil 5, 80 y 95) con el fin de identificar el impacto en términos relativos.",Bancolombia,,,6,Calibración de los nuevos coeficientes,8,4,16,8,24,,,TRUE,02 Final Cosechas libre inversion_completo.xlsx,1,FALSE,jul-05,Dirección de Riesgo Internacional y Análisis Cuantitativo,jul-05,Dirección de Riesgo Internacional y Análisis Cuantitativo,FALSE,2014,9,1,1
3,Distribución de Capital Metodo volatilidades gasto neto provisión,El modelo  busca generar un distribución de pérdidas por riesgo de crédito para en la cartera del grupo Bancolombia. Con esta distribución se puede estimar la pérdida inesperada segœn grupos homogéneos determinados.,Bancolombia,Tipo2,Metodología,12,Por definir,4,4,4,4,8,,,TRUE,03 20110124 Presentación Asignación de Capital.pptx,1,FALSE,Junio de 2007,Gerencia de Asignación de Capital,Diciembre de 2012,Gerencia de Asignación de Capital,TRUE,2017,1,1,1
4,CreditRisk + Bancolombia,"El modelo Credit Risk + busca generar un distribución de pérdidas por riesgo de crédito para en la cartera del grupo Bancolombia. Con esta distribución se puede estimar la pérdida inesperada segœn grupos homogéneos determinados. En el proceso se calculan probabilidades de default de cada grupo homogéneo como uno de los insumo para la simulación de la distribución de pérdidas. Dicha simulación se realiza sobre las exposiciones de una ""foto"" del portafolio en un momento determinando. Los resultados de la distribución de pérdida son utilizados por la Gerencia de Asignación de Capital para estimar las asignaciones y calcular el costo total del riesgo.",Bancolombia,Tipo1,Modelos Estadísticos,12,PSI y Traffic Light de las PD calculadas,4,20,4,20,24,,,TRUE,04 CR+ Final v2.docx,3,TRUE,Junio de 2007,"Gerencia de Cuantificación del Riesgo, Ronald Granada",Noviembre de 2012,"Gerencia de Cuantificación del Riesgo, Laura Carolina Cardona Mesa",TRUE,2017,1,1,1
5,Cálculo de Mitigación de Garantías,El Modelo busca asignar los porcentajes de asignación a cada uno de los productos para el cálculo del SVA,Bancolombia y Leasing,Tipo2,Metodología,6,Revisión de las Mitigaciones definidas para publicarlas cada semestre,16,4,32,8,40,,,TRUE,05 Modelo de cálculo de Mitigaciones,2,FALSE,Junio de 2008,Gerencia de Asignación de Capital,Junio de 2011,Gerencia de Asignación de Capital,TRUE,2016,7,1,1
6,Cálculo de la pérdida media,"El Modelo calcula historicamente el gasto neto de provisiones y luego se le incluyó el cálculo de otra información, como recuperaciones de cartera",Todas,Tipo2,Metodología,12,"Seguimiento mensual, a través de un tablero de control, se hacen validaciones con Contabilidad",16,4,16,4,20,,,TRUE,06 Metodología Asignaciones de Capital y Pérdidas Esperadas,2,FALSE,Junio de 2008,Gerencia de Asignación de Capital,Junio de 2012,Gerencia de Asignación de Capital,TRUE,2017,3,1,1
7,"Asignación Otros Riesgos (Operacional , Líquidez , Mercado y Carteras Colectivas)","Se determinan los parametros para los riesgos diferentes a Riesgo de Crédito, para la asignación de capital en el SVA",Todas,Tipo2,Metodología,12,Comparación de los parámetros definidos con datos reales,16,4,16,4,20,,,TRUE,07 Metodología Asignación de Capital otros riesgos,1,FALSE,Junio de 2008,Gerencia de Asignación de Capital,,Gerencia de Asignación de Capital,TRUE,2017,1,1,1
8,Capital a asignar ,Asignar el capitaldel Grupo Bancolombia ,Todas,Tipo2,Metodología,12,Se hace seguimiento mensual al Capital Asignado en el SVA y se revisa si el pronóstico se está cumpliendo,16,4,30,4,34,,,TRUE,06 Metodología Asignaciones de Capital y Pérdidas Esperadas,1,FALSE,Octubre de 2012,Gerencia de Asignación de Capital,,,TRUE,2017,1,1,1
9,Prueba de estrés de capital por riesgo de crédito para la cartera del banco usando Credit Risk +,"El modelo busca determinar si los niveles de capital del Banco son suficientes ante una situación de estrés macroeconómico. Para ello considera tres escenarios de diferente tipo de estrés en determinadas variables macroeconómicas(escenarios creados de manera experta o con ayuda de Investigaciones Económicas) y mediante modelos VAR se evalœa el impacto que este deterioro en las variables macroeconómicas genera en la probblidad de default de las carteras. Con ese deterioro, se calcula el modelo CR+ para cada una de las carteras (persona jurídica, persona natural e hipotecario) y se tiene como resultado el capital económico requerido ante la situación de estrés. Posteriormente, se hacen comparaciones del capital en el escenario de estés vs. el capital en escenario normal y se sacan conclusiones sobre si el capital que tiene el banco sería suficiente para responder a los diferentes escenarios de estrés.",Bancolombia,,,12,Por definir,16,4,30,4,34,,,TRUE,09 Prueba de estres de capital por RC usando Credit Risk+.docx,1,TRUE,Diciembre de 2013,"Gerencia Cuantificación de Riesgos-Laura Carolina Cardona, Ronald Granada Galvis Gerencia de Análisis de Información de Riesgos- Carlos Antonio Gutierrez, Mariana Gallo, Juan Camilo Andrade ",,"Gerencia Cuantificación de Riesgos-Laura Carolina Cardona, Ronald Granada Galvis Gerencia de Análisis de Información de Riesgos- Carlos Antonio Gutierrez, Mariana Gallo, Juan Camilo Andrade",FALSE,2014,12,1,1
10,Fórmula de Asignación de Capital,La fórmula de Asignación de Capital permite calcular la asignación de capital para un grupo homogéneo dado partiendo del promedio de su probabilidad de default y de la volatilidad de esa probabilidad de default. Incorpora además el efecto del factor de escalamiento de capital y está calibrada para dar sus resultados en términos de la Asignación final que se publica. ,Todas,Tipo2,Metodología,12,Reestimación y recálculo de los valores de la fórmula,16,4,30,4,34,,,TRUE,10.F…RMULA DE ASIGNACI…N DE CAPITAL,1,TRUE,Diciembre de 2013,"Gerencia de Cuantificación de Riesgo- Laura Carolina Cardona, Ronald Granada Galvis. Gerencia de Asignación de Riesgo- Verónica Jaramillo Marín",,"Gerencia de Cuantificación de Riesgo- Laura Carolina Cardona, Ronald Granada Galvis. Gerencia de Asignación de Riesgo- Verónica Jaramillo Marín",TRUE,2017,1,1,1
